RUT,Entidad_In,Fecha_Ingr,RegiÃ³n,Identifica,Longitud,Latitud,Proyeccion,Recurso_Pr,Mapas_Geol,Levantamie,Levantam_1,Base_Datos,Levantam_2,Bases_Dato,Base_Dat_1,Bases_Da_1,Otros_Estu,Imagen_Sat,Estudios_A,Estudio_Es,Informe_Ge,Estudio__1,Presentaci,Plano_Mina,TopografÃ­,EstimaciÃ³,Propiedad_,Este_WGS84,Sur_WGS84,Huso_WGS84,Nombre_Pro,Enlace_Pro,Estado,Recurso__1,Latitude,Longitude
96955560-3,HALDEMAN MINING COMPANY SA,20210129,Región de Tarapacá,01401EX01221,"-69,26690674","-20,17150879",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-001,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"472110,446020417","7769516,94421903",19 S,Proyecto Sagasca - Mamiña,https://portalgeo.sernageomin.cl/SIGEX_2019/0677_575_Proyecto_Sagasca_Mamiña,Proyecto Aprobado,Cu,-20.171508788999972,-69.26690673799999
78127000-8,TECK RESOURCES CHILE LTDA,20210304,Región de Atacama,03103EX01312,"-69,09692383","-27,70062256",WGS84,Au-Cu,MGG-001,MGQ-002,BDGQ-001,BDS-002,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"490443,994421092","6935956,72426665",19 S,Dali,https://portalgeo.sernageomin.cl/SIGEX_2019/0522_1248_Dali,Proyecto Aprobado,Au/Ag,-27.700622558999953,-69.09692382799994
78127000-8,TECK RESOURCES CHILE LTDA,20210304,Región de Tarapacá,01405EX01322,"-68,82299805","-21,07421875",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"518386,515672278","7669628,12120424",19 S,El Caracol,https://portalgeo.sernageomin.cl/SIGEX_2019/0530_1248_El_Caracol,Proyecto Aprobado,Cu(Mo/Zn/Fe),-21.074218749999943,-68.82299804699994
78127000-8,TECK RESOURCES CHILE LTDA,20210304,Región de Tarapacá,01401EX01333,"-69,13500977","-20,04888916",WGS84,Cu-Mo,MGG-002,MGQ-002,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"485881,627886296","7783102,90013985",19 S,Flor del Desierto - Actualización,https://portalgeo.sernageomin.cl/SIGEX_2019/0541_1248_Flor_Del_Desierto_Actualización,Proyecto Aprobado,Cu(Mo/Zn/Fe),-20.04888915999993,-69.13500976599994
78127000-8,TECK RESOURCES CHILE LTDA,20210304,Región de Tarapacá,01405EX01323,"-68,77630615","-21,03582764",WGS84,Cu-Au,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"523242,727932055","7673870,92409346",19 S,Hundida Este,https://portalgeo.sernageomin.cl/SIGEX_2019/0531_1248_Hundida_Este,Proyecto Aprobado,Cu(Au/Ag),-21.035827636999954,-68.77630615199996
76099463-4,Minera Altos de Punitaqui,20210414,Región de Coquimbo,S/N,"-71,27142334","-30,90368652",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-001,REC-002,PRMIN-002,"282911,460970998","6578861,15396637",19 S,Nova Galicia (2016-2017),https://portalgeo.sernageomin.cl/SIGEX_2019/0800_1110_Nova_Galicia_(2016-2017),Proyecto Aprobado,Cu,-30.903686522999976,-71.27142333999996
76163321-K,MINERA MELON S.A,20210414,Región Metropolitana,13501EX01482,"-71,3494873","-33,80029297",WGS84,Calizas,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"282500,096863483","6257505,16501688",19 S,Proyecto Melipilla,https://portalgeo.sernageomin.cl/SIGEX_2019/0515_1242_Proyecto_Melipilla,Proyecto Aprobado,Min. Industriales,-33.80029296899994,-71.34948730499997
76163321-K,MINERA MELON S.A,20210414,Región de Magallanes,12102EX01483,"-71,28851318","-52,59790039",WGS84,Calizas,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"345004,780113684","4169998,66951245",19 S,Proyecto Punta Arenas,https://portalgeo.sernageomin.cl/SIGEX_2019/0514_1242_Proyecto_Punta_Arenas,Proyecto Aprobado,Min. Industriales,-52.59790039099994,-71.28851318399995
76099463-4,Minera Altos de Punitaqui,20210414,Región de Coquimbo,S/N,"-71,21630859","-30,72570801",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-001,REC-002,PRMIN-002,"287789,079408176","6598698,17344327",19 S,San Andrés,https://portalgeo.sernageomin.cl/SIGEX_2019/0801_1110_San_Andrés,Proyecto Aprobado,Cu,-30.72570800799997,-71.21630859399994
76457675-6,Anglo American Chile Inversiones S.A.,20190311,Región de Antofagasta,1383/2019,"-69,24389648","-21,94140625",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"474814,414926567","7573638,49594622",19 S,Pullapart,https://portalgeo.sernageomin.cl/SIGEX_2019/0136_1938_Pullapart,Proyecto Aprobado,Cu,-21.941406249999943,-69.24389648399995
76457675-6,Anglo American Chile Inversiones S.A.,20190311,Región de Antofagasta,1358/2019,"-68,72839355","-23,09771728",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"527814,639317723","7445637,03119653",19 S,Quimal,https://portalgeo.sernageomin.cl/SIGEX_2019/0428_178_Quimal,Proyecto Aprobado,Cu,-23.09771728499993,-68.72839355499997
76457675-6,Anglo American Chile Inversiones S.A.,20190311,Región de Antofagasta,1377/2019,"-68,83117676","-21,75061035",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"517456,400234053","7594767,03183949",19 S,Rabona,https://portalgeo.sernageomin.cl/SIGEX_2019/0469_185_Rabona,Proyecto Aprobado,Cu,-21.750610351999967,-68.83117675799997
76457675-6,Anglo American Chile Inversiones S.A.,20190311,Región de Antofagasta,1378/2019,"-69,23760986","-21,73638916",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"475428,588095333","7596331,73102438",19 S,Recalcine,https://portalgeo.sernageomin.cl/SIGEX_2019/0468_185_Recalcine,Proyecto Aprobado,Cu,-21.73638915999993,-69.23760986299999
76508016-9,MINERA JOSÉ IVÁN ROJAS VILLARROEL E.I.R.L.,20220121,Región de Valparaíso,S/N,"-70,97167969","-32,74951172",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-001,TOPO-002,REC-002,PRMIN-002,"315279,966662746","6374761,87204783",19 S,Proyecto de Exploración Tunel El Galpon,https://portalgeo.sernageomin.cl/SIGEX_2019/0855_1254_PROYECTO_DE EXPLORACIÓN_TUNEL_EL_GALPON,Proyecto Aprobado,Cu,-32.74951171899994,-70.97167968799994
76508016-9,MINERA JOSÉ IVÁN ROJAS VILLARROEL E.I.R.L.,20220121,Región de Valparaíso,S/N,"-70,96948242","-32,75061035",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-001,TOPO-002,REC-002,PRMIN-002,"315488,121216362","6374643,88448471",19 S,Proyecto de Exploración Sondaje Y Calicatas La Siete,,Proyecto en Evaluación,Cu,-32.75061035199997,-70.96948242199994
76312388-K,SOCIEDAD MINERA 3H LIMITADA,20220121,Región de Valparaíso,334,"-70,97570801","-32,73370361",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"314869,800764594","6376507,6866123",19 S,SOCIEDAD MINERA 3H LIMITADA,,Proyecto en Evaluación,Cu,-32.73370361299993,-70.97570800799997
76722598-9,SOCIEDAD MINERA A&O LTDA.,20220121,Región de Valparaíso,333,"-70,97570801","-32,73370361",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"314869,800764594","6376507,6866123",19 S,SOCIEDAD MINERA A&O LTDASOCIEDAD MINERA A&O LTDA.,,Proyecto en Evaluación,Cu,-32.73370361299993,-70.97570800799997
85466200-7,MINERA SAN PEDRO S.A.,20220125,Región Metropolitana,S/N,"-70,93029785","-33,06652832",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"319801,166019643","6339681,11867337",19 S,Mina Olivo,,Proyecto en Evaluación,Cu,-33.066528319999975,-70.93029785199997
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20180712,Región de Valparaíso,3291/2018,"-70,46459961","-32,2310791",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-001,ESPREF-002,INGEO-001,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-002,"362002,289193769","6433009,66594846",19 S,Chepica,https://portalgeo.sernageomin.cl/SIGEX_2019/0002_3533_Chepica/,Proyecto Aprobado,Cu,-32.23107910199997,-70.46459960899995
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20180712,Región del Maule,3291/2018,"-70,76019287","-35,3203125",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-002,"339999,505873545","6090013,38175994",19 S,Chilote,https://portalgeo.sernageomin.cl/SIGEX_2019/0003_3533_Chilote/,Proyecto Aprobado,Cu,-35.32031249999994,-70.76019287099996
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20180712,Región del Maule,3291/2018,"-71,09552002","-36,27911377",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-002,"311790,832243088","5983055,9473414",19 S,Molinillos,https://portalgeo.sernageomin.cl/SIGEX_2019/0004_3533_Molinillos/,Proyecto Aprobado,Cu,-36.27911376999998,-71.09552001999998
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20180712,Región del Maule,3291/2018,"-70,44470215","-35,06561279",WGS84,Cu-Mo,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-002,"368269,073117321","6118726,42289129",19 S,Pellejo Norte,https://portalgeo.sernageomin.cl/SIGEX_2019/0005_2913_Pellejo_Norte/,Proyecto Aprobado,Cu(Mo/Zn/Fe),-35.06561279299996,-70.44470214799998
78127000-8,Teck Resources Chile Ltda.,20181002,Región Metropolitana,13203EX00321,"-69,9776001","-34,04229736",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-002,LEVGF-001,BDSUP-001,BDPETMIN-001,BDDR-001,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-001,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"409763,873392545","6232723,1846961",19 S,Lorena,https://portalgeo.sernageomin.cl/SIGEX_2019/0067_1701_Lorena/,Proyecto Aprobado,Cu,-34.04229736299993,-69.97760009799998
61703000-4,ENAMI,20181003,Región de Coquimbo,04301EX00322,"-71,23748779","-30,37982178",WGS84,Cu-Au,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"284999,111934119","6637002,3372328",19 S,Estudio Geológico Distrito La Verdiona,https://portalgeo.sernageomin.cl/SIGEX_2019/0664_447_Estudio_Geológico_Distrito_La_Verdiona,Proyecto Aprobado,Cu(Au/Ag),-30.37982177699996,-71.23748779299996
78127000-8,Teck Resources Chile Ltda.,20181004,Región de Valparaíso,05705EX00323,"-70,30822754","-32,29107666",WGS84,Cu-Au,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-001,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-001,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"376818,257583265","6426548,5599627",19 S,Amos-Fenix,https://portalgeo.sernageomin.cl/SIGEX_2019/0024_1029_Amos_Fenix/,Proyecto Aprobado,Cu(Au/Ag),-32.29107665999993,-70.30822753899997
78127000-8,Teck Resources Chile Ltda.,20181005,Región de Coquimbo,04303EX00324,"-70,4085083","-30,87237549",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-001,BDS-002,LEVGF-001,BDSUP-001,BDPETMIN-001,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"365350,045069471","6583692,56561294",19 S,Patillos,https://portalgeo.sernageomin.cl/SIGEX_2019/0188_2303_Patillos,Proyecto Aprobado,Cu(Mo/Zn/Fe),-30.872375487999932,-70.40850830099998
76005488-7,Sumitomo Metal Mining Chile Ltda,20190306,Región de Tarapacá,01405EX00604,"-68,95690918","-19,9052124",WGS84,Cu-Au,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"504510,217297088","7799007,25512394",19 S,Reina Hija,https://portalgeo.sernageomin.cl/SIGEX_2019/0134_1941_Reina_Hija,Proyecto Aprobado,Cu(Au/Ag),-19.90521240199996,-68.95690917999997
78127000-8,Teck Resources Chile Ltda.,20190307,Región de Antofagasta,02103EX00610,"-68,91760254","-23,19592285",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"508431,983299772","7434788,97640394",19 S,Carla,https://portalgeo.sernageomin.cl/SIGEX_2019/0422_175_Carla,Proyecto Aprobado,Cu(Mo/Zn/Fe),-23.195922851999967,-68.91760253899997
78127000-8,Teck Resources Chile Ltda.,20190307,Región de Antofagasta,02103EX00612,"-69,07519531","-23,21301269",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"492306,013070503","7432897,48482744",19 S,Cisne Teck,https://portalgeo.sernageomin.cl/SIGEX_2019/0421_175_Cisne_Teck,Proyecto Aprobado,Cu(Mo/Zn/Fe),-23.213012694999975,-69.07519531299994
76005488-7,Sumitomo Metal Mining Chile Ltda,20190307,Región de Arica y Parinacota,15201EX00617,"-69,45831299","-18,06091309",WGS84,Cu-Au,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-001,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"451498,050869451","8003015,10768413",19 S,Corral,https://portalgeo.sernageomin.cl/SIGEX_2019/0222_2300_Corral,Proyecto Aprobado,Cu(Au/Ag),-18.06091308599997,-69.45831298799999
61703000-4,ENAMI,20190415,Región de Atacama,2011/2019,"-70,12738037","-26,04089355",WGS84,Cu-Fe,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-001,PRMIN-001,"387208,988938984","7119300,24683785",19 S,Pastenes,https://portalgeo.sernageomin.cl/SIGEX_2019/0385_62_Pastenes,Proyecto Aprobado,Cu(Mo/Zn/Fe),-26.04089355499997,-70.12738037099996
78442450-2,MINERA NITTETSU CHILE LIMITADA,20190430,Región de Tarapacá,01404EX00681,"-69,42980957","-19,89569092",WGS84,Cu-Au,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"455009,804541045","7800004,04069011",19 S,Furano,https://portalgeo.sernageomin.cl/SIGEX_2019/0181_2177_Furano,Proyecto Aprobado,Cu(Au/Ag),-19.895690917999957,-69.42980956999997
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20190503,Región de Antofagasta,2317/2019,"-68,71258545","-21,25482178",WGS84,Cu,MGG-001,MGQ-001,BDGQ-002,BDS-002,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-001,"529819,753478885","7649623,00027782",19 S,Alto Andino,https://portalgeo.sernageomin.cl/SIGEX_2019/0340_2985_Alto_Andino,Proyecto Aprobado,Cu,-21.25482177699996,-68.71258544899996
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20190503,Región de Antofagasta,2317/2019,"-69,1697998","-24,69659424",WGS84,Cu,MGG-001,MGQ-001,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-001,ESPREF-002,INGEO-002,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-001,"482823,697204549","7268636,62376645",19 S,Anaquena,https://portalgeo.sernageomin.cl/SIGEX_2019/0339_2985_Anaquena,Proyecto Aprobado,Cu,-24.696594237999932,-69.16979980499997
76031013-1,VALE EXPLORACIONES CHILE LTDA,20190515,Región de Antofagasta,02201EX00702,"-69,10839844","-22,40051269",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"488842,707692197","7522836,79282325",19 S,Genoveva,https://portalgeo.sernageomin.cl/SIGEX_2019/0264_2302_Genoveva,Proyecto Aprobado,Cu,-22.400512694999975,-69.10839843799994
76031013-1,VALE EXPLORACIONES CHILE LTDA,20190515,Región de Tarapacá,01404EX00703,"-69,28308105","-19,6373291",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-001,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"470320,921526702","7828626,4002277",19 S,Misticsa,https://portalgeo.sernageomin.cl/SIGEX_2019/0263_2302_Misticsa,Proyecto Aprobado,Cu,-19.637329101999967,-69.28308105499997
76031013-1,VALE EXPLORACIONES CHILE LTDA,20190515,Región de Antofagasta,02101EX00704,"-69,02539062","-23,76452637",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-001,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"497412,814937241","7371843,03931093",19 S,Sierra Mariposa,https://portalgeo.sernageomin.cl/SIGEX_2019/0288_2809_Sierra_Mariposa,Proyecto Aprobado,Cu,-23.764526366999974,-69.02539062499994
78442450-2,MINERA NITTETSU CHILE LIMITADA,20190522,Región de Atacama,03101EX00722,"-70,11187744","-27,02178955",WGS84,Cu-Fe,MGG-002,MGQ-001,BDGQ-001,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-001,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"389702,046429927","7010665,08971289",19 S,Copiapó Nordeste,https://portalgeo.sernageomin.cl/SIGEX_2019/0145_1940_Copiapo_Nordeste,Proyecto Aprobado,Cu(Mo/Zn/Fe),-27.021789550999983,-70.11187744099993
76025837-7,KGHM CHILE SPA,20190705,Región de Antofagasta,02201EX00761,"-68,25280762","-22,45709228",WGS84,Cu-Ag,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"576877,776049919","7516386,42541711",19 S,Mercedes,https://portalgeo.sernageomin.cl/SIGEX_2019/0443_723_Mercedes,Proyecto Aprobado,Cu(Au/Ag),-22.45709228499993,-68.25280761699997
76025837-7,KGHM CHILE SPA,20190705,Región de Antofagasta,02101EX00762,"-69,02478027","-25,37072754",WGS84,Cu-Ag,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"497506,985171437","7194000,86217495",19 S,Prospecto Varas,https://portalgeo.sernageomin.cl/SIGEX_2019/0442_723_Prospecto_Varas,Proyecto Aprobado,Cu(Au/Ag),-25.370727538999972,-69.02478027299998
96623750-3,SCM Copiapó,20190709,Región de Tarapacá,1818/2019,"-69,85229492","-19,83538818",WGS84,Nitratos,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"410750,634952004","7806509,21402194",19 S,Pia 169 del 1 Al 8,https://portalgeo.sernageomin.cl/SIGEX_2019/0289_2810_Pia_169_Del_1_Al_8,Proyecto Aprobado,Min. Industriales,-19.835388183999953,-69.85229492199994
96966850-5,Minera Mandalay Challacollo S.A.,20190711,Región de Tarapacá,2503/2019,"-69,35101318","-20,953125",WGS84,Ag,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"463508,067842163","7683000,15844375",19 S,Challacollo,https://portalgeo.sernageomin.cl/SIGEX_2019/0290_2811_Challacollo,Proyecto Aprobado,Au/Ag,-20.953124999999943,-69.35101318399995
76604983-4,SOCIEDAD MINERA ARIANA,20210401,Región de Atacama,S/N,"-71,05938721","-27,90008545",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"297304,688319614","6912160,56492675",19 S,Ariana,https://portalgeo.sernageomin.cl/SIGEX_2019/0654_146_Ariana,Proyecto Aprobado,Cu,-27.90008544899996,-71.05938720699999
