ID,RUT_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_FAENA,NOMBRE_INSTALACION,TIPO_DEPOSITO,RECURSO,TIPO_MINERIA,CANTIDAD_MUROS__CONTENCION_,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,UTM_NORTE,UTM_ESTE,DATUM,HUSO,LATITUD,LONGITUD,ESTADO_INSTALACION,METODO_CONSTRUCTIVO_MURO,VOL_AUTORIZADO,VOL_ACTUAL,TONELAJE_AUTORIZADO,TONELAJE_ACTUAL,RES_APRUEBA,FECHA_RES_APRUEBA,RES_PDC_APRUEBA,FECHA_RES_PDC,Shape_Length,Shape_Area
0169-3N,sin rut conocido,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6966786.496,370232.9628,WGS84,19S,-27.41614891,-70.31273564,ABANDONADO,,4276,,6414,,,,,,266.5485024,3350.583514
0170-3N,sin rut conocido,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,ACOPIO,ORO,METÁLICO,,03,031,03101,Atacama,Copiapó,Copiapó,6966834.843,370331.2105,WGS84,19S,-27.4157219,-70.31173681,ABANDONADO,NO APLICA,8442,,12633,,,,,,271.0518736,4242.832829
0171-3N,76353771-4,MINE TRADE SPA,PLANTA PUERTO RICO,EMBALSE 4,EMBALSE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6969796.585,367426.8714,WGS84,19S,-27.38871094,-70.34078815,ACTIVO,,26000,17762,39000,82113,400,2015-10-28,271,2016-06-02,456.3366691,12684.52298
0172-3N,sin rut conocido,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,033,03303,Atacama,Huasco,Freirina,6804789.468,292425.9692,WGS84,19S,-28.86788722,-71.1281877,ABANDONADO,,50000,,75000,,,,,,1917.012234,62529.60197
0173-3N,sin rut conocido,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,ACOPIO,ORO,METÁLICO,,03,033,03303,Atacama,Huasco,Freirina,6803756.344,290919.6497,WGS84,19S,-28.87696114,-71.14381396,ABANDONADO,NO APLICA,1900,,2850,,,,,,578.3584106,13145.16957
0174-3N,23379984-K,INVERSIONES RAY LTDA.,PLANTA SAN CRISTOBAL,DESCONOCIDO,ACOPIO,COBRE,METÁLICO,,03,031,03101,Atacama,Copiapó,Copiapó,6962900.783,370316.8423,WGS84,19S,-27.45122802,-70.31230206,ABANDONADO,NO APLICA,2034,,3051,,,,,,109.5750951,909.4548776
0175-3N,23379984-K,INVERSIONES RAY LTDA.,PLANTA SAN CRISTOBAL,DESCONOCIDO,ACOPIO,COBRE,METÁLICO,,03,031,03101,Atacama,Copiapó,Copiapó,6962936.268,370292.7265,WGS84,19S,-27.45090544,-70.31254226,ABANDONADO,NO APLICA,1125,,1687,,1062,1999-09-22,,,128.4536543,1171.341683
0176-3N,79785390-9,CIA. MINERA SAN ESTEBAN PRIMERA,PLANTA SANTA ESTEBAN (EX SANTA LAURA),SANTA LAURA 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6967917.943,369479.2233,WGS84,19S,-27.40586487,-70.32023749,ABANDONADO,,1508240,,2262360,,,,,,1317.901452,88163.19511
0177-3N,79785390-9,CIA. MINERA SAN ESTEBAN PRIMERA,PLANTA SANTA ESTEBAN (EX SANTA LAURA),SANTA LAURA 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968273.629,369408.0168,WGS84,19S,-27.40264774,-70.32091942,ABANDONADO,,2797710,,4196565,,,,,,1749.652408,105021.4328
0178-3N,79785390-9,CIA. MINERA SAN ESTEBAN PRIMERA,PLANTA SANTA ESTEBAN (EX SANTA LAURA),SANTA LAURA 3,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968207.599,369616.4793,WGS84,19S,-27.40326366,-70.31881838,ABANDONADO,,301886,,452829,,,,,,846.024596,20430.71644
0179-3N,4768594-K,EXEQUIEL BUGUEÑO,SANTA ROSA,SANTA ROSA 1,EMBALSE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6965426.108,370233.4665,WGS84,19S,-27.42842737,-70.31287576,ACTIVO,,15772,,23658,,,,,,436.4949343,9777.651951
0180-3N,4768594-K,EXEQUIEL BUGUEÑO,SANTA ROSA,SANTA ROSA 2,EMBALSE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6965432.316,370304.645,WGS84,19S,-27.42837812,-70.31215513,INACTIVO,,4785,,7177,,,,,,209.8505723,2704.782882
0181-3N,sin rut conocido,SOC. MINERA UNION,PLANTA LA UNION (EX SAN LORENZO),UNION,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968491.922,366649.9161,WGS84,19S,-27.40041055,-70.3487871,ABANDONADO,AGUAS ARRIBA,175000,,262500,,1230,1986-12-10,,,419.7866038,13077.90611
0182-3N,sin rut conocido,S. PIZARRO (EX RUBELINDO ALQUINTA),PLANTA ANDACOLLO,ANDACOLLO 1,ACOPIO,ORO,METÁLICO,,03,031,03101,Atacama,Copiapó,Copiapó,6966487.814,362838.6154,WGS84,19S,-27.41812039,-70.38755394,ABANDONADO,NO APLICA,3200,,4800,,,,,,118.9488803,885.4995728
0183-3N,sin rut conocido,S. PIZARRO (EX RUBELINDO ALQUINTA),PLANTA ANDACOLLO,ANDACOLLO 2,ACOPIO,ORO,METÁLICO,,03,031,03101,Atacama,Copiapó,Copiapó,6966507.861,362825.5948,WGS84,19S,-27.41793815,-70.38768337,ABANDONADO,NO APLICA,3200,,4640,,,,,,93.63210157,567.4858383
0184-3N,6239382-3,CARLOS SOTO FUENTEALBA,PLANTA PORVENIR,PORVENIR ,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6969680.367,368503.6104,WGS84,19S,-27.3898641,-70.3299134,ABANDONADO,EJE CENTRAL,15200,,22800,,69,1987-01-16,402,2005-01-25,333.8855868,8004.013209
0185-3N,6239382-3,CARLOS SOTO FUENTEALBA,PLANTA PORVENIR,PORVENIR SUR,ACOPIO,COBRE,METÁLICO,,03,031,03101,Atacama,Copiapó,Copiapó,6969495.758,368456.5006,WGS84,19S,-27.39152577,-70.3304097,ABANDONADO,NO APLICA,8752,,13128,,69,1987-01-16,402,2005-01-25,193.4469417,2100.207235
0186-3N,sin rut conocido,MANUEL ACHU PEREZ,PLANTA CUESTA CARDONES,CUESTA CARDONES 1,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6969831.884,367824.4131,WGS84,19S,-27.38843092,-70.33676464,ABANDONADO,EJE CENTRAL,5600,,8400,,1085,1986-10-31,,,166.9099357,858.3638282
0187-3N,sin rut conocido,LUIS MORALES,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6971988.936,367029.0283,WGS84,19S,-27.36888492,-70.34457159,ABANDONADO,AGUAS ARRIBA,10637,,15956,,,,,,1408.159068,71474.53272
0188-3N,3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,PURIFICACION 1,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6966531.819,369981.85,WGS84,19S,-27.4184236,-70.31530261,ABANDONADO,AGUAS ARRIBA,500,,750,,,,633,1985-07-10,235.6057381,2878.94979
0189-3N,3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,PURIFICACION 2,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6966591.389,369996.4319,WGS84,19S,-27.41788734,-70.31514875,ABANDONADO,AGUAS ARRIBA,12000,,18000,,,,,,318.9468411,5777.37925
0190-3N,3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,PURIFICACION 3,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6966643.986,369991.0946,WGS84,19S,-27.4174121,-70.31519711,ABANDONADO,AGUAS ARRIBA,600,,900,,,,,,165.9208905,1323.284804
0191-3N,3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,EMBALSE DE RELAVES,EMBALSE,ORO,METÁLICO,0,03,031,03101,Atacama,Copiapó,Copiapó,6966542.151,370090.5845,WGS84,19S,-27.41834072,-70.31420175,ABANDONADO,EXCAVACION TERRENO,8308,,12462,,,,,,155.8788213,1574.988533
0192-3N,sin rut conocido,NUÑEZ HNOS,PLANTA LLAUCAVEN,LLAUCAVEN 1,TRANQUE DE RELAVE,ORO-COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968113.133,370716.458,WGS84,19S,-27.40422103,-70.30770458,INACTIVO,AGUAS ARRIBA,33814,,50721,,732,1985-08-06,,,539.5183009,17579.50759
0193-3N,sin rut conocido,NUÑEZ HNOS,PLANTA LLAUCAVEN,LLAUCAVEN 2,TRANQUE DE RELAVE,ORO-COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968219.081,370611.6804,WGS84,19S,-27.40325484,-70.30875292,INACTIVO,AGUAS ARRIBA,210795,,316192,,732,1985-08-06,,,497.7587664,16280.83354
0194-3N,sin rut conocido,DELIA NIETO ROBLE,PLANTA TANIA,TANIA,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968039.457,370879.4259,WGS84,19S,-27.40490146,-70.30606433,INACTIVO,AGUAS ARRIBA,4300,,6450,,177,1988-02-05,,,145.864281,1157.027979
0195-3N,sin rut conocido,DOMINGO GUGGIANA,PLANTA GUGGIANA,GUGGIANA,TRANQUE DE RELAVE,ORO-COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6973619.796,365971.0537,WGS84,19S,-27.35406199,-70.35508792,INACTIVO,EJE CENTRAL,71000,,106500,,146,1985-02-01,,,393.3420896,9306.622779
0196-3N,sin rut conocido,SCM ZEPOLAC,PLANTA DON LUIS,DON LUIS 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6959302.956,372570.6353,WGS84,19S,-27.48391387,-70.28987804,INACTIVO,AGUAS ARRIBA,10000,,15000,,566,1986-06-02,,,846.7030648,21230.21698
0197-3N,sin rut conocido,VICTOR JENSEN,PLANTA LA FLORIDA,LA FLORIDA 1,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6965688.068,375059.0082,WGS84,19S,-27.42651422,-70.26403762,INACTIVO,AGUAS ARRIBA,3000,,4500,,567,1986-06-02,,,424.5784981,11393.11577
0198-3N,sin rut conocido,VICTOR JENSEN,PLANTA LA FLORIDA,LA FLORIDA 2,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6965733.326,375158.1707,WGS84,19S,-27.42611482,-70.26302993,INACTIVO,AGUAS ARRIBA,2500,,3750,,567,1986-06-02,,,274.7611953,5014.940766
0199-3N,76309389-1,ACIBOL SpA,PLANTA IRMITA,EMBALSE DE RELAVES,EMBALSE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968000.027,366302.0182,WGS84,19S,-27.40481611,-70.35235921,INACTIVO,,280495,212437,420743,318656,349,2013-07-25,,,321.435407,6374.273639
0200-3N,59166910-9,ADMIRALTY MINERALS CHILE PTY LTDA,PROYECTO MARIPOSA,MARIPOSA,ESPESADO,HIERRO,METÁLICO,3,03,033,03301,Atacama,Huasco,Vallenar,6826122.61,321801.2062,WGS84,19S,-28.67984461,-70.82379833,EN CONSTRUCCION,AGUAS ABAJO,,,9900000,,237,2023-02-13,,,832.2571209,41574.81209
0201-3N,10642205-2,DANISA REYES ITURRIZAGASTA,AMANDA,AMANDA (EX CHARITO),TRANQUE DE RELAVE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6967270.29,365277.4524,WGS84,19S,-27.41130149,-70.36280117,ABANDONADO,,14650,,21960,,,,,,402.58212,8794.132893
0202-3N,8993045-6,NATIMAN FLORES DIAZ,PLANTA OJOS DE AGUA,OJOS DE AGUA,EMBALSE,ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6967571.421,366308.5979,WGS84,19S,-27.40868516,-70.35233977,ACTIVO,NO APLICA,16667,,25000,8340,443,1997-04-29,316,2014-04-25,356.5782373,8610.302867
0203-3N,94638000-8,CIA. MINERA DEL PACIFICO,CERRO NEGRO NORTE,CERRO NEGRO NORTE,ESPESADO,HIERRO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6998690.998,364909.6001,WGS84,19S,-27.12767192,-70.36305707,ACTIVO,NO APLICA,61000000,17023480,110000000,30642264,2856,2017-11-09,1932,2015-07-30,5724.556778,2066046.315
0204-3N,94638000-8,CIA. MINERA DEL PACIFICO,PLANTA PELLETS,DEPÓSITO DE RELAVES FILTRADOS – PLANTA DE PELLETS,FILTRADO,HIERRO,METÁLICO,0,03,033,03304,Atacama,Huasco,Huasco,6846019.484,279515.2765,WGS84,19S,-28.49386431,-71.25250003,ACTIVO,NO APLICA,,,13800000,,1527,2022-09-05,,,2764.778459,319389.3042
0205-4N,94638000-8,CIA. MINERA DEL PACIFICO,FAENAS EL ROMERAL,EL ROMERAL,EMBALSE,HIERRO,METÁLICO,1,04,041,04101,Coquimbo,Elqui,La Serena,6709540.052,285031.7445,WGS84,19S,-29.72570577,-71.22248594,INACTIVO,,7700000,,11550000,,833,1994-11-28,1879,2009-10-05,2050.098974,235805.144
0206-4N,94638000-8,CIA. MINERA DEL PACIFICO,FAENAS EL ROMERAL,EL TRIGO,EMBALSE,HIERRO,METÁLICO,1,04,041,04101,Coquimbo,Elqui,La Serena,6705787.661,283762.3231,WGS84,19S,-29.75932412,-71.23635288,ACTIVO,AGUAS ABAJO,29333333,12777387,44000000,29198724,1583,2004-07-08,1879,2009-10-05,4386.991774,926040.791
0207-3N,96561560-1,SOC. PUNTA DEL COBRE S.A.,PLANTA SAN JOSE,LAS CRUCES,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6962970.973,368964.9215,WGS84,19S,-27.45046498,-70.32597202,ACTIVO,EJE CENTRAL,53533333,46724602,80300000,77095593,952,2018-04-04,384,2007-04-16,5623.967403,1733088.842
0208-3N,96561560-1,SOC. PUNTA DEL COBRE S.A.,PLANTA SAN JOSE,LAS CRUCES 2,FILTRADO,COBRE,METÁLICO,0,03,031,03101,Atacama,Copiapó,Copiapó,6963515.583,370381.7608,WGS84,19S,-27.44568524,-70.31157963,EN CONSTRUCCION,NO APLICA,26277066,0,39415600,0,558,2016-03-18,,,5871.375164,1710678.786
0209-3N,96561560-1,SOC. PUNTA DEL COBRE S.A.,PLANTA PUCOBRE,EL BUITRE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6959657.123,372721.8887,WGS84,19S,-27.48073144,-70.28831012,ABANDONADO,,4400000,,6600000,,185,1998-01-20,1050,2005-04-26,3022.712373,348850.7117
0210-3N,96561560-1,SOC. PUNTA DEL COBRE S.A.,PLANTA PUCOBRE,SAN JOSE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6959492.23,373638.9084,WGS84,19S,-27.48230531,-70.27904712,ABANDONADO,EJE CENTRAL,2000000,,3000000,,161,1992-02-07,486,1999-03-08,1338.424784,107402.8191
0211-3N,99531960-8,MINERA LUMINA COPPER CHILE LTDA.,CASERONES,ARENAS EL TAMBO,TRANQUE DE RELAVE,COBRE,METÁLICO,0,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6881670.403,445672.9048,WGS84,19S,-28.18960007,-69.55350672,ACTIVO,NO APLICA,380000000,18071705,570000000,62853799,3370,2011-11-02,306,2012-02-06,5939.366046,849639.2331
0212-3N,99531960-8,MINERA LUMINA COPPER CHILE LTDA.,CASERONES,LAMAS LA BREA,EMBALSE,COBRE,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6887942.084,438694.8563,WGS84,19S,-28.13268254,-69.6242701,ACTIVO,AGUAS ABAJO,318400000,63146964,477600000,164768840,542,2017-03-06,306,2012-02-06,10014.94451,2647422.268
0213-3N,sin rut conocido,DESCONOCIDO,DESCONOCIDO,PABELLON,ACOPIO,COBRE,METÁLICO,,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6940562.711,378112.2218,WGS84,19S,-27.65356719,-70.23568862,ABANDONADO,NO APLICA,8700,,13050,,,,,,821.4647589,37380.83294
0214-3N,sin rut conocido,CIA. MINERA HUASCO,PLANTA RIO HUASCO,RIO HUASCO,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03102,Atacama,Copiapó,Caldera,7008886.981,319971.4234,WGS84,19S,-27.03053216,-70.81483742,INACTIVO,,435735,,653602,,,,,,1573.483739,168571.5767
0215-3N,79812520-6,SOC. EXPLODESA DOS AMIGOS (EX MINERA DOMEYKO),PLANTA DOMEYKO,DOMEYKO 1,TRANQUE DE RELAVE,ORO-COBRE-PLATA,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6795234.561,316535.9736,WGS84,19S,-28.95775938,-70.88266927,ABANDONADO,,58833,,82249,,45,1972-03-10,,,484.8733454,13954.47451
0216-3N,79812520-6,SOC. EXPLODESA DOS AMIGOS (EX MINERA DOMEYKO),PLANTA DOMEYKO,DOMEYKO 2,TRANQUE DE RELAVE,ORO-COBRE-PLATA,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6795361.18,316176.6017,WGS84,19S,-28.95656549,-70.88633471,ABANDONADO,,112484,,168726,,241,1984-02-28,,,687.5776021,32637.36487
0217-3N,79812520-6,SOC. EXPLODESA DOS AMIGOS (EX MINERA DOMEYKO),PLANTA DOMEYKO,DOMEYKO 3,TRANQUE DE RELAVE,ORO-COBRE-PLATA,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6795512.999,316134.7121,WGS84,19S,-28.9551899,-70.88673954,ABANDONADO,,42705,,64057,,241,1984-02-28,,,467.9362501,14788.99602
0218-3N,79812520-6,SOC. EXPLODESA DOS AMIGOS (EX MINERA DOMEYKO),PLANTA DOMEYKO,DOMEYKO 4,TRANQUE DE RELAVE,ORO-COBRE-PLATA,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6795507.552,316302.91,WGS84,19S,-28.95526322,-70.88501523,ABANDONADO,,47364,,71046,,241,1984-02-28,,,480.8902087,15167.02861
0219-3N,79812520-6,SOC. EXPLODESA DOS AMIGOS (EX MINERA DOMEYKO),PLANTA DOMEYKO,DOMEYKO 5,TRANQUE DE RELAVE,ORO-COBRE-PLATA,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6795516.057,316224.1825,WGS84,19S,-28.95517517,-70.88582135,ABANDONADO,,58190,,87825,,241,1984-02-28,,,361.848248,6083.615221
0220-3N,sin rut conocido,HERNAN SOLIS,PLANTA SOLIS,SOLIS 1,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6840345.354,327545.8099,WGS84,19S,-28.55230358,-70.76288284,INACTIVO,AGUAS ARRIBA,2000,,3000,,,,,,351.5703182,6879.090526
0221-3N,sin rut conocido,HERNAN SOLIS,PLANTA SOLIS,SOLIS 2,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6840397.42,327598.4103,WGS84,19S,-28.55184081,-70.76233753,INACTIVO,AGUAS ARRIBA,8600,,12900,,,,,,340.8941358,7174.067513
0222-3N,5765725-1,J. FONSECA,PLANTA FONSECA,DESCONOCIDO,ACOPIO,ORO-COBRE,METÁLICO,,03,032,03202,Atacama,Chañaral,Diego de Almagro,7040307.915,409678.6703,WGS84,19S,-26.75563229,-69.90837978,ABANDONADO,NO APLICA,1200,,1800,,,,,,289.2465919,4819.63059
0223-3N,sin rut conocido,MARTIN HERNANDEZ,PLANTA HERNANDEZ,TRANQUE DE RELAVE,ACOPIO,COBRE,METÁLICO,,03,032,03202,Atacama,Chañaral,Diego de Almagro,7040265.813,409305.4526,WGS84,19S,-26.75598828,-69.91213596,INACTIVO,NO APLICA,8047,,12071,,568,1986-06-02,,,313.1591992,5044.058703
0224-3N,76063022-5,INCA DE ORO S.A,PLANTA OMEGA,OMEGA 1,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,032,03202,Atacama,Chañaral,Diego de Almagro,7041040.823,409178.7391,WGS84,19S,-26.74898347,-69.91335429,ABANDONADO,AGUAS ARRIBA,28000,,42000,,631,1986-06-24,,,151.453774,1626.528637
0225-3N,76063022-5,INCA DE ORO S.A,PLANTA OMEGA,OMEGA 2,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,032,03202,Atacama,Chañaral,Diego de Almagro,7041036.804,409110.47,WGS84,19S,-26.74901533,-69.91404106,ABANDONADO,AGUAS ARRIBA,30100,,43645,,,,,,265.2725119,3205.677061
0226-3N,76063022-5,INCA DE ORO S.A,PLANTA OMEGA,OMEGA 3,TRANQUE DE RELAVE,ORO,METÁLICO,1,03,032,03202,Atacama,Chañaral,Diego de Almagro,7041045.283,409141.4294,WGS84,19S,-26.74894079,-69.91372913,ABANDONADO,AGUAS ARRIBA,1300,,1950,,,,,,214.4420397,1835.205369
0227-3N,77700880-3,ASESORIÁS E INVERSIONES SANTANDER LTDA,PLANTA DIEGO DE ALMAGRO,RIOSAL 1-2-3-4-5-6,ACOPIO,COBRE-ORO,METÁLICO,,03,032,03202,Atacama,Chañaral,Diego de Almagro,7079858.074,393755.8123,WGS84,19S,-26.39747423,-70.06519024,ABANDONADO,NO APLICA,11240,,16860,,,,,,369.4993101,7003.674153
0228-3N,77700880-3,ASESORIÁS E INVERSIONES SANTANDER LTDA,PLANTA DIEGO DE ALMAGRO,EMBALSE DE RELAVE,EMBALSE,COBRE-ORO,METÁLICO,1,03,032,03202,Atacama,Chañaral,Diego de Almagro,7079861.813,393426.3318,WGS84,19S,-26.39741585,-70.06849279,ABANDONADO,,11240,,16860,,800,2014-12-23,825,2014-12-31,348.1020868,6852.972674
0229-3N,5348552-9,HECTOR CASTELLON,PLANTA CASTELLON,CASTELLON,ACOPIO,ORO,METÁLICO,,03,031,03101,Atacama,Copiapó,Copiapó,6970049.078,367884.4129,WGS84,19S,-27.38647643,-70.3361344,ABANDONADO,NO APLICA,20000,,30000,,,,,,621.7889253,19375.03129
0230-3N,6671097-1,CARLOS IRIBARREN,LUZ ELENA,FLORENCIA 1,EMBALSE,COBRE-ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6967931.875,366481.8938,WGS84,19S,-27.40544885,-70.35054765,ABANDONADO,,5200,,7800,,,,,,294.9558684,5825.736303
0231-3N,6671097-1,CARLOS IRIBARREN,LUZ ELENA,FLORENCIA 2,EMBALSE,COBRE-ORO,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6967916.309,366385.6116,WGS84,19S,-27.4055799,-70.35152304,ABANDONADO,,2800,,4200,,,,,,368.1585332,6367.37109
0232-3N,sin rut conocido,CIA. MINERA HORUS,PLANTA LA PEPA,LA PEPA 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6984698.772,471242.9019,WGS84,19S,-27.26031298,-69.29051694,INACTIVO,EJE CENTRAL,290000,,435000,,1090,1989-11-14,,,1319.771178,63194.6969
0233-3N,sin rut conocido,CIA. MINERA HORUS,PLANTA LA PEPA,LA PEPA 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6984982.923,471118.4806,WGS84,19S,-27.25774502,-69.29176719,INACTIVO,EJE CENTRAL,42768,,64152,,1090,1989-11-14,,,1126.536894,28484.15985
0234-3N,sin rut conocido,CIA. MINERA SAN ESTEBAN,PLANTA SAN ESTEBAN,SAN ESTEBAN 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6969132.638,370243.147,WGS84,19S,-27.39497432,-70.31238242,INACTIVO,,67200,,100800,,,,,,287.2322786,5198.259823
0235-3N,sin rut conocido,CIA. MINERA SAN ESTEBAN,PLANTA SAN ESTEBAN,SAN ESTEBAN 2A,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6969062.309,370194.613,WGS84,19S,-27.39560447,-70.31288069,INACTIVO,EJE CENTRAL,48000,,72000,,573,1986-06-02,,,164.4739439,1752.228891
0236-3N,sin rut conocido,CIA. MINERA SAN ESTEBAN,PLANTA SAN ESTEBAN,SAN ESTEBAN 2B,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968983.162,370130.3259,WGS84,19S,-27.3963127,-70.31353921,INACTIVO,EJE CENTRAL,245160,,367740,,573,1986-06-02,,,403.3130032,9519.001823
0237-3N,96635170-5,CIA. MINERA OJOS DEL SALADO,PLANTA PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA 1,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6958051.581,375588.5626,WGS84,19S,-27.49548819,-70.25946426,ABANDONADO,,187630,,281445,,122,2016-01-15,612,2009-04-07,338.6239867,8444.037772
0238-3N,96635170-5,CIA. MINERA OJOS DEL SALADO,PLANTA PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA 2,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6958030.766,375495.0148,WGS84,19S,-27.49566749,-70.26041323,ABANDONADO,,576882,,865323,,122,2016-01-15,612,2009-04-07,376.4670973,8965.354402
0239-3N,96635170-5,CIA. MINERA OJOS DEL SALADO,PLANTA PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA 3,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6957871.271,375543.7689,WGS84,19S,-27.49711153,-70.25993616,ABANDONADO,,73875,,110812,,122,2016-01-15,612,2009-04-07,379.7051822,8198.553565
0240-3N,96635170-5,CIA. MINERA OJOS DEL SALADO,PLANTA PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA 4-6,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6958564.889,375363.3665,WGS84,19S,-27.49083455,-70.26169073,ABANDONADO,,537685,,806528,,122,2016-01-15,612,2009-04-07,1317.711801,50991.03979
0241-3N,96635170-5,CIA. MINERA OJOS DEL SALADO,PLANTA PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA 5,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,031,03103,Atacama,Copiapó,Tierra Amarilla,6958148.841,375425.9477,WGS84,19S,-27.49459544,-70.26110014,ABANDONADO,,155320,,232980,,122,2016-01-15,612,2009-04-07,235.9206361,2936.857685
