Nombre_Pro,Entidad_In,RUT_clean,Recurso_Pr,Recurso_Grupo,Región,Region_Norm,Estado,lat,lon,Cluster,Prob
Inca West,MINERA NEWMONT CHILE LIMITADA,78370330-0,Au,Oro,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.569091796999942,-69.84417724599996,-1,1.0
Paccha,S.C.M. COPIAPO,96623750-3,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-19.681213378999928,-69.92401122999996,-1,1.0
Sondajes Exploración Mina Verde,COMINOR INVERSIONES MINERAS S A,96855080-2,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.099609374999943,-71.20361328099995,-1,1.0
Ancocarire,Andex Minerals SpA,76449287-0,Au-Ag-Cu,Oro,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto en Evaluación,-18.785392999999942,-69.24671599999994,-1,1.0
Comahue,Next Minerals S.A.,76309929-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.48907470699993,-70.25640869099993,55,1.0
Mina Juana,Diomedes Cruz Solarzano,14627660-1,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto en Evaluación,-30.676391601999967,-71.20977783199999,15,1.0
Chaguarina,Compañía Minera San Gerónimo,78801520-8,Cu-Ag,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.14282226599994,-71.04461669899996,-1,1.0
Cerro Balcon,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-19.802001952999944,-69.98040771499996,-1,1.0
Constancia,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.068908690999933,-69.91510009799998,-1,1.0
Las Dunas,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.452575683999953,-69.97009277299998,56,1.0
Morro Bayo,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.488891601999967,-70.01538085899995,56,1.0
Chañarcillo Sur-2,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.72680664099994,-69.32952880899995,57,1.0
Chañarcillo Sur-3,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.730590819999975,-69.33471679699994,57,1.0
Cúllen-2021,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.86560058599997,-68.93902587899998,58,1.0
Espora-8,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.47698974599996,-69.41461181599993,0,1.0
El Verde,EPG Partners S.A.,76042210-K,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto en Evaluación,-30.827697753999928,-70.54248046899994,-1,1.0
Joshua,EPG Partners S.A.,76042210-K,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto en Evaluación,-30.601013183999953,-70.87182617199994,-1,1.0
Juan Soldado,EPG Partners S.A.,76042210-K,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto en Evaluación,-29.65509033199993,-71.26037597699997,59,1.0
Minera Asturias,EPG Partners S.A.,76042210-K,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto en Evaluación,-29.491394042999957,-71.05261230499997,-1,1.0
Jaspeado,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.510314940999933,-68.80407714799998,-1,1.0
La Polvora,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.797912597999982,-69.53601074199997,-1,1.0
Mani,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.573791503999928,-69.24499511699997,27,1.0
Paciencia,Teck Resources Chile Ltda.,78127000-8,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.70031738299997,-69.38580322299998,60,1.0
Farallón Sanchez,Hudbay Chile SpA,96847520-7,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-31.50500488299997,-71.00799560499996,-1,1.0
Fiel Rosita,Hudbay Chile SpA,96847520-7,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.39868164099994,-70.06878662099996,-1,1.0
San Antonio,Hudbay Chile SpA,96847520-7,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-29.058776854999962,-70.79449462899998,61,1.0
Trilco,Hudbay Chile SpA,96847520-7,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.140197753999928,-70.22399902299998,51,1.0
Higueras,FUTURA KPUENTE SPA,76495285-5,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.443298339999956,-71.14007568399995,-1,1.0
Anaquena,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto en Evaluación,-24.693298339999956,-69.16802978499999,17,1.0
Real,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-21.07409667999997,-69.09619140599995,26,1.0
Ricardo,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.426086425999927,-68.90478515599995,-1,1.0
Soledad-Noelia,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.98919677699996,-69.23608398399995,62,1.0
Tres Marías,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.51940917999997,-69.25482177699996,27,1.0
Aroma,SCM Virginia,96538290-9,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-19.757995604999962,-69.71771240199996,-1,1.0
Pajonales II,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto en Evaluación,-29.141479491999974,-71.00659179699994,10,1.0
Pajonales II - Sector Cortadera,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto en Evaluación,-29.105407714999956,-71.00592040999999,10,1.0
Puquio,SCM Virginia,96538290-9,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.707580565999933,-69.44372558599997,-1,1.0
Cabaña Oeste-1,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.81860351599994,-69.79351806599993,1,1.0
Carancho-1,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.80249023399995,-69.77441406299994,1,1.0
Carmelitas-1,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.79217529299996,-69.68310546899994,1,1.0
Carmelitas-2,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.804809569999975,-69.67309570299994,1,1.0
Fortuna Sur-1,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-53.03851318399995,-68.88079833999996,63,1.0
Fortuna-2,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-53.00781249999994,-68.82312011699997,63,1.0
Huiro-1A,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.780090331999986,-69.77709960899995,1,1.0
Lutora Sur-7,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.866577147999976,-69.61279296899994,1,1.0
Lynch-42,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.86828613299997,-69.02209472699997,58,1.0
Paraguaya-2,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.86151122999996,-68.71667480499997,64,1.0
Lagarto,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.365905761999954,-69.29840087899998,41,1.0
Majo,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.06488037099996,-69.32971191399997,-1,1.0
Lana-Corina,SCM ANTARES,76170584-9,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto en Evaluación,-31.121276854999962,-71.11480712899998,-1,1.0
Mina Mirasol,MINERA CRUZ LIMITADA,76118700-7,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto en Evaluación,-30.67028808599997,-71.20690917999997,15,1.0
La Trivia,CODELCO,61704000-K,Cu,Cobre,Región Metropolitana,REGIÓN METROPOLITANA,Proyecto Aprobado,-33.09490966799996,-70.55871581999997,-1,1.0
Las Areneras Norte,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-33.08599853499993,-70.24841308599997,12,1.0
Proyecto Catanave,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Au-Cu,Oro,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto Aprobado,-18.553710937999938,-69.35528564499998,-1,1.0
Proyecto San Benito,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.293701171999942,-69.24902343799994,-1,1.0
Proyecto Ticnamar,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu-Mo,Cobre,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto Aprobado,-18.576110839999956,-69.46441650399998,-1,1.0
Silica,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.04669189499998,-68.94689941399997,-1,1.0
Tornasol,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.096191405999946,-68.78179931599993,65,1.0
Visna,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.159729003999928,-68.74230956999997,65,1.0
La Carreta Oriente,CODELCO,61704000-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.383789062999938,-69.50292968799994,2,1.0
Las Lomas,CODELCO,61704000-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.341186522999976,-69.67669677699996,2,1.0
Las Torres,CODELCO,61704000-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.30828857399996,-69.68609619099993,2,1.0
Pampa Oeste,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.145507812999938,-70.02551269499997,-1,1.0
Susana,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.842102050999927,-69.85858154299996,66,1.0
Tentación,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.831787108999947,-69.84948730499997,66,1.0
Triunfo,Socieda Punta del Cobre S.A,96561560-1,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto en Evaluación,-27.07012939499998,-69.98809814499998,37,1.0
Transito,Socieda Punta del Cobre S.A,96561560-1,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto en Evaluación,-27.51849365199996,-70.34960937499994,3,1.0
Laura Victoria,Minera Peñoles de Chile Limitada,76670380-1,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.77239990199996,-70.03308105499997,52,1.0
Exploración de Pertenencias La Canela,KUPRO RESOURCES SPA,76248357-2,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.41290283199993,-71.01721191399997,67,1.0
Los Domos,Minera Equus Chile Ltda,76166482-4,Au-Ag,Oro,Región Aysén,REGIÓN AYSÉN,Proyecto Aprobado,-46.67749023399995,-71.75958251999998,68,1.0
Carpintero,YPF Chile S.A.,76162492-K,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-53.206298827999944,-68.80249023399995,30,1.0
Guanaco Exploración,GUANACO COMPAÑIA MINERA SPA,78097950-K,Au-Ag,Oro,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.134704589999956,-69.59521484399994,69,1.0
Arcángel (Proyecto Concluido),VALE EXPLORACIONES CHILE LTDA,76031013-1,Cu,Cobre,Región del Maule,MAULE,Proyecto Aprobado,-35.13360595699993,-70.57501220699999,-1,1.0
Sondajes de Exploración de Litio,SIMCO SPA,76590221-5,Li,Otro,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.862304687999938,-69.07458496099997,70,1.0
Proyecto Pampa Dos,MINERA DEL NORTE SpA,76837669-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.515808104999962,-68.41009521499996,53,1.0
Exploración La Reina,MINERA MICHILLA SpA,76572421-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.598510741999974,-70.10900878899997,71,1.0
Rubi,Minera Mirasol Chile Limitada,76907760-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.44750976599994,-69.63092040999999,2,1.0
Barriga,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-33.08850097699997,-70.19500732399996,12,1.0
Cerro Pasco,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-33.07818603499993,-70.26977539099994,12,1.0
El Morado,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-33.17150878899997,-70.25512695299994,12,1.0
Aspromin,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.635498046999942,-69.24609374999994,19,1.0
Calamazo,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.89630126999998,-69.10369872999996,-1,1.0
Némesis,VALE EXPLORACIONES CHILE LTDA,76031013-1,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.132995604999962,-69.39709472699997,-1,1.0
Dorada,Kinross Minera Chile Ltda.,76028345-2,Au,Oro,Región de Atacama,ATACAMA,Proyecto en Evaluación,-26.210388183999953,-68.81982421899994,9,1.0
Mantos de Oro,Compañía Minera Mantos de Oro,78928380-K,Au,Oro,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.812499999999943,-69.28820800799997,-1,1.0
La Tropa,SOCIEDAD PUNTA DEL COBRE,96561560-1,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.37200927699996,-70.08489990199996,31,1.0
Puntillas (TOVAKU),SOCIEDAD PUNTA DEL COBRE,96561560-1,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.936523437999938,-69.77270507799994,43,1.0
Resguardo,SOCIEDAD PUNTA DEL COBRE,96561560-1,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.49591064499998,-70.24920654299996,3,1.0
Checo de Cobre,MINERA NITTETSU CHILE LIMITADA,78442450-2,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.554321288999972,-70.12609863299997,-1,1.0
Caldera,FQM EXPLORATION CHILE S.A (EX MINERA INMET CHILE S.A.),96709010-7,Cu-Mo-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.880493163999972,-69.87091064499998,72,1.0
Einstein,FQM EXPLORATION CHILE S.A (EX MINERA INMET CHILE S.A.),96709010-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.276611327999944,-69.63549804699994,73,1.0
San Bernardo,FQM EXPLORATION CHILE S.A (EX MINERA INMET CHILE S.A.),96709010-7,Cu-Mo-Au,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.655029296999942,-69.43389892599998,28,1.0
Silvestre,Compañía Minera Salitrales Limitada,76033303-4,Au-Ag,Oro,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.80560302699996,-69.95178222699997,11,1.0
Vizcachitas,COMPAÑIA MINERA VIZCACHITAS HOLDING,77147590-6,Cu-Mo,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.41558837899993,-70.42608642599998,74,1.0
V-01,QUANTUM PACIFIC EXPLORATION SPA,76320311-5,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.779296874999943,-70.01361083999996,11,1.0
Nueva Esperanza,Laguna Resources Chile Limitada,76056731-0,Au-Ag,Oro,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.650512694999975,-69.19989013699995,-1,1.0
Proyecto Montonero,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.39758300799997,-70.30517578099995,75,1.0
Proyecto Resguardo,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.40649414099994,-70.31030273399995,75,1.0
Lautaro Sur-5,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.844604491999974,-69.50421142599998,1,1.0
Lautaro Sur-6,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.83648681599993,-69.49517822299998,1,1.0
Lautaro-13,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.785095214999956,-69.56701660199997,1,1.0
Lautaro-14,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.82287597699997,-69.53491210899995,1,1.0
Lircay-2,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.88031005899995,-69.67260742199994,1,1.0
Paraguaya-3,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.832702636999954,-68.74719238299997,64,1.0
Paraguaya-4,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.854309081999986,-68.76702880899995,64,1.0
Pelequén-1,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.902282714999956,-69.68652343799994,1,1.0
Punta Baja-14,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.82287597699997,-69.54040527299998,1,1.0
Punta Baja-15,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.59362792999997,-69.54388427699996,-1,1.0
Riío del Oro ZG-1,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.851684569999975,-69.74389648399995,1,1.0
Rosal-2,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.82202148399995,-69.64019775399998,1,1.0
Sobrero Oeste-2,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.739501952999944,-69.31311035199997,57,1.0
Teno Sur-1,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.71789550799997,-69.53948974599996,1,1.0
Teno-3,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.70428466799996,-69.52490234399994,1,1.0
Loma Tendida,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.170593261999954,-70.64202880899995,-1,1.0
Los Azules,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.51580810499996,-70.14349365199996,13,1.0
Los Milos,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-33.114501952999944,-70.28149414099994,12,1.0
Espejo,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.422485351999967,-69.43249511699997,-1,1.0
El Inca,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.25891113299997,-69.10870361299999,23,1.0
Farellon Delirio,Minera Las Cenizas,79963260-8,Cu-Ag,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.539001464999956,-71.08508300799997,67,1.0
Cerro Negro,ENAMI,61703000-4,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.183227538999972,-70.25531005899995,-1,1.0
Los Helados,Minera Frontera del Oro SpA,77320410-1,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.33990478499993,-69.58660888699995,-1,1.0
Montezuma,SCM Montezuma,76574679-5,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.689025878999928,-68.90460205099998,-1,1.0
Loro,Minera Mena,77960100-5,Au-Ag,Oro,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.629211425999983,-69.51818847699997,-1,1.0
Bornita,MINERA BORNITA SPA,76472461-5,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.907592772999976,-70.38897705099998,-1,1.0
Pajonales,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto Aprobado,-29.15130615199996,-70.95538330099998,10,1.0
Praga,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto Aprobado,-29.01708984399994,-70.88098144499997,61,1.0
Sierra La Bandera,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.390197753999928,-70.85559081999997,33,1.0
Zapallo,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto Aprobado,-29.257385253999928,-71.09838867199994,40,1.0
Mina María Elena,CIA. EXPLO. DE MINAS SAN ANDRES,83714300-4,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto en Evaluación,-27.691894530999946,-70.15850830099998,76,1.0
PROYECTO TRANSITO,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.728698729999962,-69.76391601599994,-1,1.0
Proyecto Sagasca - Mamiña,HALDEMAN MINING COMPANY SA,96955560-3,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.171508788999972,-69.26690673799999,-1,1.0
Nova Galicia (2016-2017),Minera Altos de Punitaqui,76099463-4,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.903686522999976,-71.27142333999996,49,1.0
Proyecto Melipilla,MINERA MELON S.A,76163321-K,Calizas,Otro,Región Metropolitana,REGIÓN METROPOLITANA,Proyecto Aprobado,-33.80029296899994,-71.34948730499997,-1,1.0
San Andrés,Minera Altos de Punitaqui,76099463-4,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.72570800799997,-71.21630859399994,15,1.0
Quimal,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.09771728499993,-68.72839355499997,77,1.0
Rabona,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.750610351999967,-68.83117675799997,21,1.0
Recalcine,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.73638915999993,-69.23760986299999,-1,1.0
SOCIEDAD MINERA 3H LIMITADA,SOCIEDAD MINERA 3H LIMITADA,76312388-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto en Evaluación,-32.73370361299993,-70.97570800799997,78,1.0
"SOCIEDAD MINERA A&O LTDASOCIEDAD MINERA A&O LTDA.
",SOCIEDAD MINERA A&O LTDA.,76722598-9,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto en Evaluación,-32.73370361299993,-70.97570800799997,78,1.0
Chepica,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.23107910199997,-70.46459960899995,-1,1.0
Amos-Fenix,Teck Resources Chile Ltda.,78127000-8,Cu-Au,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.29107665999993,-70.30822753899997,-1,1.0
Furano,MINERA NITTETSU CHILE LIMITADA,78442450-2,Cu-Au,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-19.895690917999957,-69.42980956999997,-1,1.0
Anaquena,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.696594237999932,-69.16979980499997,17,1.0
Genoveva,VALE EXPLORACIONES CHILE LTDA,76031013-1,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.400512694999975,-69.10839843799994,-1,1.0
Misticsa,VALE EXPLORACIONES CHILE LTDA,76031013-1,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-19.637329101999967,-69.28308105499997,-1,1.0
Sierra Mariposa,VALE EXPLORACIONES CHILE LTDA,76031013-1,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.764526366999974,-69.02539062499994,-1,1.0
Copiapó Nordeste,MINERA NITTETSU CHILE LIMITADA,78442450-2,Cu-Fe,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.021789550999983,-70.11187744099993,32,1.0
Pia 169 del 1 Al 8,SCM Copiapó,96623750-3,Nitratos,Otro,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-19.835388183999953,-69.85229492199994,-1,1.0
Challacollo,Minera Mandalay Challacollo S.A.,96966850-5,Ag,Otro,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.953124999999943,-69.35101318399995,-1,1.0
